tag,model,seed,started_at,ended_at,run_duration_sec,train_sec_cumulative,n_epochs
ablation/wo_random_erasing/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T20:35:27,2026-08-05T20:50:02,875.2,804.4,25
ablation/wo_label_smoothing/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T20:50:05,2026-08-05T21:08:28,1103.0,1030.3,32
ablation/wo_two_phase/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T21:08:30,2026-08-05T21:25:15,1005.4,933.9,28
ablation/wo_pretrained/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T21:25:17,2026-08-05T21:44:12,1134.9,1057.4,32
ablation/full/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-05T21:44:14,2026-08-05T21:58:19,844.2,769.1,23
ablation/wo_msf/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-05T21:58:21,2026-08-05T22:14:33,971.6,895.8,28
ablation/wo_lap/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-05T22:14:35,2026-08-05T22:34:34,1198.7,1116.2,32
ablation/wo_hier/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-05T22:34:36,2026-08-05T22:53:32,1135.8,1054.0,30
ablation/wo_mixstyle/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-05T22:53:35,2026-08-05T23:09:42,966.5,884.2,26
ablation/wo_lap_gate/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-05T23:09:44,2026-08-05T23:29:00,1156.1,1078.2,32
ablation/wo_mixup/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-05T23:29:03,2026-08-05T23:41:41,758.4,678.3,20
ablation/wo_ema/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-05T23:41:44,2026-08-05T23:59:34,1070.0,994.1,32
ablation/wo_tta/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-05T23:59:36,2026-08-06T00:18:26,1129.9,1073.1,32
ablation/wo_llrd/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-06T00:18:28,2026-08-06T00:38:08,1179.3,1092.1,32
ablation/wo_beta_calib/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-06T00:38:10,2026-08-06T00:58:17,1206.6,1121.5,32
ablation/wo_sampler/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-06T01:13:41,2026-08-06T01:35:24,1302.8,1146.4,29
ablation/wo_random_erasing/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-06T01:35:27,2026-08-06T01:55:17,1190.2,1102.4,32
ablation/wo_label_smoothing/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-06T01:55:20,2026-08-06T02:14:15,1134.5,1049.7,30
ablation/wo_two_phase/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-06T02:14:17,2026-08-06T02:33:56,1179.0,1093.8,30
ablation/wo_pretrained/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-06T02:33:59,2026-08-06T02:52:30,1111.7,1033.4,32
